club_name,value_eur,wage_eur
Arsenal,245075000,2428000
Aston Villa,78505000,890000
Burnley,28845000,341000
Chelsea,284555000,2571000
Crystal Palace,53790000,666000
Everton,130535000,1186000
Hull City,62400000,740000
Leicester City,30500000,402000
Liverpool,178000000,1832000
Manchester City,314145000,2830000
Manchester United,308535000,2659000
Newcastle United,81950000,904000
Queens Park Rangers,76480000,880000
Southampton,85980000,806000
Stoke City,93320000,992000
Sunderland,62760000,746000
Swansea City,77175000,756000
Tottenham Hotspur,182925000,1860000
West Bromwich Albion,74920000,847000
West Ham United,75630000,871000
