,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeam_p1Win,HomeTeam_p1Draw,HomeTeam_p1Lose,HomeTeam_p2Win,HomeTeam_p2Draw,HomeTeam_p2Lose,HomeTeam_p3Win,HomeTeam_p3Draw,HomeTeam_p3Lose,HomeTeam_p4Win,HomeTeam_p4Draw,HomeTeam_p4Lose,HomeTeam_p5Win,HomeTeam_p5Draw,HomeTeam_p5Lose,AwayTeam_p1Win,AwayTeam_p1Draw,AwayTeam_p1Lose,AwayTeam_p2Win,AwayTeam_p2Draw,AwayTeam_p2Lose,AwayTeam_p3Win,AwayTeam_p3Draw,AwayTeam_p3Lose,AwayTeam_p4Win,AwayTeam_p4Draw,AwayTeam_p4Lose,AwayTeam_p5Win,AwayTeam_p5Draw,AwayTeam_p5Lose
0,0,2016-08-13,Burnley,Swansea City,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2016-08-13,Crystal Palace,West Bromwich Albion,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2016-08-13,Everton,Tottenham Hotspur,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2016-08-13,Hull City,Leicester City,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2016-08-13,Manchester City,Sunderland,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2016-08-13,Middlesbrough,Stoke City,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2016-08-13,Southampton,Watford,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2016-08-14,Arsenal,Liverpool,3,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2016-08-14,Bournemouth,Manchester United,1,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2016-08-15,Chelsea,West Ham United,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,2016-08-19,Manchester United,Southampton,2,0,H,True,False,False,,,,,,,,,,,,,False,True,False,,,,,,,,,,,,
11,11,2016-08-20,Burnley,Liverpool,2,0,H,False,False,True,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
12,12,2016-08-20,Leicester City,Arsenal,0,0,D,False,False,True,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
13,13,2016-08-20,Stoke City,Manchester City,1,4,A,False,True,False,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
14,14,2016-08-20,Swansea City,Hull City,0,2,A,True,False,False,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
15,15,2016-08-20,Tottenham Hotspur,Crystal Palace,1,0,H,False,True,False,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
16,16,2016-08-20,Watford,Chelsea,1,2,A,False,True,False,,,,,,,,,,,,,True,False,False,,,,,,,,,,,,
17,17,2016-08-20,West Bromwich Albion,Everton,1,2,A,True,False,False,,,,,,,,,,,,,False,True,False,,,,,,,,,,,,
18,18,2016-08-21,Sunderland,Middlesbrough,1,2,A,False,False,True,,,,,,,,,,,,,False,True,False,,,,,,,,,,,,
19,19,2016-08-21,West Ham United,Bournemouth,1,0,H,False,False,True,,,,,,,,,,,,,False,False,True,,,,,,,,,,,,
20,20,2016-08-27,Chelsea,Burnley,3,0,H,True,False,False,True,False,False,,,,,,,,,,True,False,False,False,False,True,,,,,,,,,
21,21,2016-08-27,Crystal Palace,Bournemouth,1,1,D,False,False,True,False,False,True,,,,,,,,,,False,False,True,False,False,True,,,,,,,,,
22,22,2016-08-27,Everton,Stoke City,1,0,H,True,False,False,False,True,False,,,,,,,,,,False,False,True,False,True,False,,,,,,,,,
23,23,2016-08-27,Hull City,Manchester United,0,1,A,True,False,False,True,False,False,,,,,,,,,,True,False,False,True,False,False,,,,,,,,,
24,24,2016-08-27,Leicester City,Swansea City,2,1,H,False,True,False,False,False,True,,,,,,,,,,False,False,True,True,False,False,,,,,,,,,
25,25,2016-08-27,Southampton,Sunderland,1,1,D,False,False,True,False,True,False,,,,,,,,,,False,False,True,False,False,True,,,,,,,,,
26,26,2016-08-27,Tottenham Hotspur,Liverpool,1,1,D,True,False,False,False,True,False,,,,,,,,,,False,False,True,True,False,False,,,,,,,,,
27,27,2016-08-27,Watford,Arsenal,1,3,A,False,False,True,False,True,False,,,,,,,,,,False,True,False,False,False,True,,,,,,,,,
28,28,2016-08-28,Manchester City,West Ham United,3,1,H,True,False,False,True,False,False,,,,,,,,,,True,False,False,False,False,True,,,,,,,,,
29,29,2016-08-28,West Bromwich Albion,Middlesbrough,0,0,D,False,False,True,True,False,False,,,,,,,,,,True,False,False,False,True,False,,,,,,,,,
30,30,2016-09-10,Arsenal,Southampton,2,1,H,True,False,False,False,True,False,False,False,True,,,,,,,False,True,False,False,False,True,False,True,False,,,,,,
