,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
0,2019-05-12,Brighton,Man City,1,4,A
1,2019-05-12,Burnley,Arsenal,1,3,A
2,2019-05-12,Crystal Palace,Bournemouth,5,3,H
3,2019-05-12,Fulham,Newcastle,0,4,A
4,2019-05-12,Leicester,Chelsea,0,0,D
5,2019-05-12,Liverpool,Wolves,2,0,H
6,2019-05-12,Man Utd,Cardiff,0,2,A
7,2019-05-12,Southampton,Huddersfield,1,1,D
8,2019-05-12,Spurs,Everton,2,2,D
9,2019-05-12,Watford,West Ham,1,4,A
10,2019-05-06,Man City,Leicester,1,0,H
11,2019-05-05,Chelsea,Watford,3,0,H
12,2019-05-05,Huddersfield,Man Utd,1,1,D
13,2019-05-05,Arsenal,Brighton,1,1,D
14,2019-05-04,Bournemouth,Spurs,1,0,H
15,2019-05-04,West Ham,Southampton,3,0,H
16,2019-05-04,Wolves,Fulham,1,0,H
17,2019-05-04,Cardiff,Crystal Palace,2,3,A
18,2019-05-04,Newcastle,Liverpool,2,3,A
19,2019-05-03,Everton,Burnley,2,0,H
20,2019-04-28,Leicester,Arsenal,3,0,H
21,2019-04-28,Burnley,Man City,0,1,A
22,2019-04-28,Man Utd,Chelsea,1,1,D
23,2019-04-27,Spurs,West Ham,0,1,A
24,2019-04-27,Crystal Palace,Everton,0,0,D
25,2019-04-27,Fulham,Cardiff,1,0,H
26,2019-04-27,Southampton,Bournemouth,3,3,D
27,2019-04-27,Watford,Wolves,1,2,A
28,2019-04-27,Brighton,Newcastle,1,1,D
29,2019-04-26,Liverpool,Huddersfield,5,0,H
30,2019-04-24,Wolves,Arsenal,3,1,H
31,2019-04-24,Man Utd,Man City,0,2,A
32,2019-04-23,Spurs,Brighton,1,0,H
33,2019-04-23,Watford,Southampton,1,1,D
34,2019-04-22,Chelsea,Burnley,2,2,D
35,2019-04-21,Everton,Man Utd,4,0,H
36,2019-04-21,Arsenal,Crystal Palace,2,3,A
37,2019-04-21,Cardiff,Liverpool,0,2,A
38,2019-04-20,Bournemouth,Fulham,0,1,A
39,2019-04-20,Newcastle,Southampton,3,1,H
40,2019-04-20,Man City,Spurs,1,0,H
41,2019-04-20,Huddersfield,Watford,1,2,A
42,2019-04-20,West Ham,Leicester,2,2,D
43,2019-04-20,Wolves,Brighton,0,0,D
44,2019-04-16,Brighton,Cardiff,0,2,A
45,2019-04-15,Watford,Arsenal,0,1,A
46,2019-04-14,Crystal Palace,Man City,1,3,A
47,2019-04-14,Liverpool,Chelsea,2,0,H
48,2019-04-13,Spurs,Huddersfield,4,0,H
49,2019-04-13,Brighton,Bournemouth,0,5,A
50,2019-04-13,Burnley,Cardiff,2,0,H
51,2019-04-13,Fulham,Everton,2,0,H
52,2019-04-13,Southampton,Wolves,3,1,H
53,2019-04-13,Man Utd,West Ham,2,1,H
54,2019-04-12,Leicester,Newcastle,0,1,A
55,2019-04-08,Chelsea,West Ham,2,0,H
56,2019-04-07,Everton,Arsenal,1,0,H
57,2019-04-06,Bournemouth,Burnley,1,3,A
58,2019-04-06,Huddersfield,Leicester,1,4,A
59,2019-04-06,Newcastle,Crystal Palace,0,1,A
60,2019-04-05,Southampton,Liverpool,1,3,A
61,2019-04-03,Chelsea,Brighton,3,0,H
62,2019-04-03,Man City,Cardiff,2,0,H
63,2019-04-03,Spurs,Crystal Palace,2,0,H
64,2019-04-02,Watford,Fulham,4,1,H
65,2019-04-02,Wolves,Man Utd,2,1,H
66,2019-04-01,Arsenal,Newcastle,2,0,H
67,2019-03-31,Cardiff,Chelsea,1,2,A
68,2019-03-31,Liverpool,Spurs,2,1,H
69,2019-03-30,Fulham,Man City,0,2,A
70,2019-03-30,Brighton,Southampton,0,1,A
71,2019-03-30,Burnley,Wolves,2,0,H
72,2019-03-30,Crystal Palace,Huddersfield,2,0,H
73,2019-03-30,Leicester,Bournemouth,2,0,H
74,2019-03-30,Man Utd,Watford,2,1,H
75,2019-03-30,West Ham,Everton,0,2,A
76,2019-03-17,Fulham,Liverpool,1,2,A
77,2019-03-17,Everton,Chelsea,2,0,H
78,2019-03-16,Bournemouth,Newcastle,2,2,D
79,2019-03-16,Burnley,Leicester,1,2,A
80,2019-03-16,West Ham,Huddersfield,4,3,H
81,2019-03-10,Liverpool,Burnley,4,2,H
82,2019-03-10,Chelsea,Wolves,1,1,D
83,2019-03-10,Arsenal,Man Utd,2,0,H
84,2019-03-09,Crystal Palace,Brighton,1,2,A
85,2019-03-09,Cardiff,West Ham,2,0,H
86,2019-03-09,Huddersfield,Bournemouth,0,2,A
87,2019-03-09,Leicester,Fulham,3,1,H
88,2019-03-09,Newcastle,Everton,3,2,H
89,2019-03-09,Southampton,Spurs,2,1,H
90,2019-03-09,Man City,Watford,3,1,H
91,2019-03-03,Watford,Leicester,2,1,H
92,2019-03-03,Fulham,Chelsea,1,2,A
93,2019-03-03,Everton,Liverpool,0,0,D
94,2019-03-02,Spurs,Arsenal,1,1,D
