,date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR
0,2021-05-23,Arsenal,Brighton,2,0,H
1,2021-05-23,Aston Villa,Chelsea,2,1,H
2,2021-05-23,Fulham,Newcastle,0,2,A
3,2021-05-23,Leeds,West Brom,3,1,H
4,2021-05-23,Leicester,Spurs,2,4,A
5,2021-05-23,Liverpool,Crystal Palace,2,0,H
6,2021-05-23,Man City,Everton,5,0,H
7,2021-05-23,Sheffield Utd,Burnley,1,0,H
8,2021-05-23,West Ham,Southampton,3,0,H
9,2021-05-23,Wolves,Man Utd,1,2,A
10,2021-05-19,Everton,Wolves,1,0,H
11,2021-05-19,Newcastle,Sheffield Utd,1,0,H
12,2021-05-19,Spurs,Aston Villa,1,2,A
13,2021-05-19,Crystal Palace,Arsenal,1,3,A
14,2021-05-19,Burnley,Liverpool,0,3,A
15,2021-05-19,West Brom,West Ham,1,3,A
16,2021-05-18,Man Utd,Fulham,1,1,D
17,2021-05-18,Southampton,Leeds,0,2,A
18,2021-05-18,Brighton,Man City,3,2,H
19,2021-05-18,Chelsea,Leicester,2,1,H
20,2021-05-16,Crystal Palace,Aston Villa,3,2,H
21,2021-05-16,Spurs,Wolves,2,0,H
22,2021-05-16,West Brom,Liverpool,1,2,A
23,2021-05-16,Everton,Sheffield Utd,0,1,A
24,2021-05-15,Burnley,Leeds,0,4,A
25,2021-05-15,Southampton,Fulham,3,1,H
26,2021-05-15,Brighton,West Ham,1,1,D
27,2021-05-14,Newcastle,Man City,3,4,A
28,2021-05-13,Aston Villa,Everton,0,0,D
29,2021-05-13,Man Utd,Liverpool,2,4,A
30,2021-05-12,Chelsea,Arsenal,0,1,A
31,2021-05-11,Man Utd,Leicester,1,2,A
32,2021-05-11,Southampton,Crystal Palace,3,1,H
33,2021-05-10,Fulham,Burnley,0,2,A
34,2021-05-09,Wolves,Brighton,2,1,H
35,2021-05-09,Aston Villa,Man Utd,1,3,A
36,2021-05-09,West Ham,Everton,0,1,A
37,2021-05-09,Arsenal,West Brom,3,1,H
38,2021-05-08,Man City,Chelsea,1,2,A
39,2021-05-08,Liverpool,Southampton,2,0,H
40,2021-05-08,Leeds,Spurs,3,1,H
41,2021-05-08,Sheffield Utd,Crystal Palace,0,2,A
42,2021-05-07,Leicester,Newcastle,2,4,A
43,2021-05-03,West Brom,Wolves,1,1,D
44,2021-05-03,Burnley,West Ham,1,2,A
45,2021-05-02,Newcastle,Arsenal,0,2,A
46,2021-05-02,Spurs,Sheffield Utd,4,0,H
47,2021-05-01,Crystal Palace,Man City,0,2,A
48,2021-05-01,Brighton,Leeds,2,0,H
49,2021-05-01,Chelsea,Fulham,2,0,H
50,2021-05-01,Everton,Aston Villa,1,2,A
51,2021-04-30,Southampton,Leicester,1,1,D
52,2021-04-26,Leicester,Crystal Palace,2,1,H
53,2021-04-25,Wolves,Burnley,0,4,A
54,2021-04-25,Leeds,Man Utd,0,0,D
55,2021-04-25,Aston Villa,West Brom,2,2,D
