,team_name,PTS,GF,GA,GD,rank
0,Leicester,81,68,36,32,1
1,Arsenal,71,65,36,29,2
2,Tottenham,70,69,35,34,3
3,Man City,66,71,41,30,4
4,Man United,66,49,35,14,5
5,Southampton,63,59,41,18,6
6,West Ham,62,65,51,14,7
7,Liverpool,60,63,50,13,8
8,Stoke,51,41,55,-14,9
9,Chelsea,50,59,53,6,10
10,Everton,47,59,55,4,11
11,Swansea,47,42,52,-10,12
12,Watford,45,40,50,-10,13
13,West Brom,43,34,48,-14,14
14,Crystal Palace,42,39,51,-12,15
15,Bournemouth,42,45,67,-22,16
16,Sunderland,39,48,62,-14,17
17,Newcastle,37,44,65,-21,18
18,Norwich,34,39,67,-28,19
19,Aston Villa,17,27,76,-49,20
